number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
10,4.230143343183591,2026-08-04 11:50:14.115956,2026-08-04 11:50:14.214699,0 days 00:00:00.098743,0.44776661280266333,0.21963519729757788,3,28,965,45,0.0024186815898149553,6.379136939832477e-05,0.6966681955033522,PRUNED
11,3.4151362016571083,2026-08-04 11:50:14.214810,2026-08-04 11:50:14.371890,0 days 00:00:00.157080,0.7188669530865943,0.013898248009815746,2,24,752,36,0.18888153205814018,0.005242947871923816,0.7439745865907376,COMPLETE
12,3.444981654607795,2026-08-04 11:50:14.372021,2026-08-04 11:50:14.647457,0 days 00:00:00.275436,0.8361054142669924,0.00335433336538432,3,25,892,60,0.0195536152465732,0.0044543722426483735,0.4201515309606834,COMPLETE
13,3.4249827541405438,2026-08-04 11:50:14.647610,2026-08-04 11:50:14.833414,0 days 00:00:00.185804,0.9956268922495185,0.011487926178352037,3,5,576,33,1.428884817021697e-05,0.001927103820188554,0.7119478246911505,COMPLETE
14,3.6917261586905132,2026-08-04 11:50:14.833564,2026-08-04 11:50:14.860827,0 days 00:00:00.027263,0.6249620767223122,0.011040763755513184,2,32,199,50,1.9216849094917288,9.802558994905501e-06,0.5670361158170311,PRUNED
15,3.6243584472915282,2026-08-04 11:50:14.860959,2026-08-04 11:50:14.972854,0 days 00:00:00.111895,0.8039600212746765,0.005832218432295593,4,19,830,17,1.8551139437601808e-05,0.13824478634127285,0.7970848122371675,PRUNED
16,3.6813418654945984,2026-08-04 11:50:14.972959,2026-08-04 11:50:15.066943,0 days 00:00:00.093984,0.6464927712720836,0.022287356266576925,4,5,601,30,0.00044081640472577624,1.3000069096789098e-06,0.6049300569612954,PRUNED
17,3.9230661866455154,2026-08-04 11:50:15.067051,2026-08-04 11:50:15.097553,0 days 00:00:00.030502,0.9982302564370711,0.004002387397270402,2,33,283,53,0.10697738088449894,0.0005482122671588802,0.5506927741641987,PRUNED
18,3.4201888491256276,2026-08-04 11:50:15.097660,2026-08-04 11:50:15.292751,0 days 00:00:00.195091,0.6395767889912839,0.008475986849611004,3,20,651,45,0.008024066324871112,0.03387557668886888,0.654205174601577,COMPLETE
19,3.632007644295031,2026-08-04 11:50:15.292887,2026-08-04 11:50:15.365060,0 days 00:00:00.072173,0.42601425755401534,0.021919812086362907,4,8,491,28,9.989962552344322e-07,1.493656852319989e-06,0.5017489176326511,PRUNED
20,3.540115403795551,2026-08-04 11:50:15.365192,2026-08-04 11:50:15.499568,0 days 00:00:00.134376,0.830031445840551,0.01671605510356705,2,48,803,16,0.00016014498308465508,0.6233400519437848,0.7943449398325464,PRUNED
21,3.4146900566417684,2026-08-04 11:50:15.499678,2026-08-04 11:50:15.658023,0 days 00:00:00.158345,0.7298050397446922,0.013006705638850334,2,24,726,36,0.30838124334405126,0.007775038297302991,0.7691109458428746,COMPLETE
22,3.3969438217962233,2026-08-04 11:50:15.658166,2026-08-04 11:50:15.843820,0 days 00:00:00.185654,0.7133774016145881,0.008381172712733035,3,17,614,40,0.4561618416669044,0.017167180659618215,0.8307963751746064,COMPLETE
23,3.4185289653706343,2026-08-04 11:50:15.843958,2026-08-04 11:50:16.031017,0 days 00:00:00.187059,0.6787800086728504,0.007939757621121491,3,18,599,42,0.8069041744979282,0.0004332864366366397,0.8543888596860163,COMPLETE
