fold,train_years,val_year,MAE,Spearman_rho,Macro_F1
1,2019,2020,3.7612788896769622,0.5665510880407841,0.08248729197792436
2,2019-2020,2021,3.3015919054951035,0.6833746323434167,0.06520595443412545
3,2019-2021,2022,3.572058124746732,0.5908197101789305,0.05412950637640144
4,2019-2022,2023,3.317136611207598,0.6521170497216046,0.0641801789379329
5,2019-2023,2024,3.0326535778547212,0.7330357840869689,0.07697264707385194
