fold,train_years,val_year,MAE,Spearman_rho,Macro_F1
1,2019,2020,3.838941176470588,0.5552808496457875,0.07487674802482658
2,2019-2020,2021,3.5075854214123003,0.6318189406190913,0.07300891962688998
3,2019-2021,2022,3.7665831435079724,0.5446843027892183,0.0761971664015892
4,2019-2022,2023,3.4594760820045565,0.6256441588875454,0.07923413619588718
5,2019-2023,2024,3.1632776617954073,0.7035728546504065,0.07974567228956546
